workerid,proliferate.condition,bothQuestionsCorrect,condition,correct,failed_audio,failed_images,failed_video,first,gender,internal_node_id,participant_hypothesis,question_order,response,rt,second,stimulus,success,tech_difficulty,time_elapsed,timeout,trial_index,trial_type,error
325,Empathetic,True,social,,,,,Females,Male,0.0-0.0,Some corelation between empathetic ability and coordination skills,,,,empathetic,,True,No difficulties,3155,,0,fullscreen,
325,Empathetic,True,social,,[],[],[],Females,Male,0.0-1.0,Some corelation between empathetic ability and coordination skills,,,,empathetic,,True,No difficulties,4775,False,1,preload,
325,Empathetic,True,social,,,,,Females,Male,0.0-2.0,Some corelation between empathetic ability and coordination skills,,0,12724,empathetic,"<div style=""text-align: left;padding: 0 20vw;""><p style=""font-size:20px; color:black;""><p>By answering the following questions, you are participating in a study being performed by cognitive scientists in the Stanford Department of Psychology. </p><p>If you have questions about this research, please contact us at stanfordpsych251@gmail.com. </p><p>You must be at least 18 years old to participate. Your participation in this research is voluntary. You may decline to answer any or all of the following questions. You may decline further participation, at any time, without adverse consequences. </p><p>Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you.</p>",,No difficulties,17502,,2,html-button-response,
325,Empathetic,True,social,,,,,Females,Male,0.0-3.0,Some corelation between empathetic ability and coordination skills,,0,1635,empathetic,"<div style=""text-align: left;padding: 0 20vw;""><p style=""font-size:20px; color:black;"">Our experiment is a task that tests your perspective taking ability.</p>",,No difficulties,19142,,3,html-button-response,
325,Empathetic,True,social,,,,,Females,Male,0.0-4.0,Some corelation between empathetic ability and coordination skills,,0,2101,empathetic,"<div style=""text-align: left;padding: 0 20vw;""><p style=""font-size:20px; color:black;"">Perspective taking ability can be thought of as a measure of <strong>empathetic ability</strong>.</p>",,No difficulties,21245,,4,html-button-response,
325,Empathetic,True,social,,,,,Females,Male,0.0-5.0,Some corelation between empathetic ability and coordination skills,,0,5767,empathetic,"<div style=""text-align: left;padding: 0 20vw;""><p style=""font-size:20px; color:black;""><p>Empathetic ability is a social ability that is defined as being able to identify with, and understand what another person is seeing or feeling, and respond appropriately.</p>",,No difficulties,27014,,5,html-button-response,
325,Empathetic,True,social,,,,,Females,Male,0.0-6.0,Some corelation between empathetic ability and coordination skills,,0,2731,empathetic,"<div style=""text-align: left;padding: 0 20vw;""><p style=""font-size:20px; color:black;"">Previous studies have shown that <strong>females often score higher on measures of empathetic ability</strong>.</p>",,No difficulties,29749,,6,html-button-response,
325,Empathetic,True,social,,,,,Females,Male,0.0-7.0,Some corelation between empathetic ability and coordination skills,,"{'first': 'Females', 'second': 'empathetic'}",8753,empathetic,,,No difficulties,38503,,7,survey-html-form,
325,Empathetic,True,social,,,,,Females,Male,0.0-8.0,Some corelation between empathetic ability and coordination skills,,0,98358,empathetic,"'<div style=""text-align: left;padding: 0 20vw;""><p>In this test, you will be shown a map of a city with a path drawn through it. </p>
      <p>Imagine yourself taking the perspective of the person on the map. Suppose that one day, you went for walk and followed the path through the city that is shown. </p> 
      <p>At each turn that the path takes, 
      your task is to decide whether you would turn to your right or your left as you are walking. </p>
      <p>If it is a <strong> right turn</strong>, click on the <strong> right arrow key</strong>  on your keyboard,</p>
      <p>and if it is a <strong> left turn</strong>, click on the <strong> left arrow key</strong>  on your keyboard.</p>
      <p>You will first see three practice trials. </p>
      <p>Please do not turn your computer screen/head.</p>",,No difficulties,136866,,8,html-button-response,
325,Empathetic,True,social,,,,,Females,Male,0.0-9.0,Some corelation between empathetic ability and coordination skills,,0,4738,empathetic,"<div style=""text-align: left;padding: 0 20vw;""><p style=""font-size:20px; color:black;"">You will first see three practice trials</p><p><p>If it is a <strong> right turn</strong>, click on the <strong> right arrow key</strong>  on your keyboard,</p><p>and if it is a <strong> left turn</strong>, click on the <strong> left arrow key</strong>  on your keyboard.</p> ",,No difficulties,141609,,9,html-button-response,
325,Empathetic,True,social,,,,,Females,Male,0.0-10.0-0.0,Some corelation between empathetic ability and coordination skills,,arrowleft,8099,empathetic,img/social/version2/p1.png,,No difficulties,149775,,10,image-keyboard-response,
325,Empathetic,True,social,,,,,Females,Male,0.0-10.0-1.0,Some corelation between empathetic ability and coordination skills,,arrowright,1030,empathetic,img/social/version2/p2.png,,No difficulties,150851,,11,image-keyboard-response,
325,Empathetic,True,social,,,,,Females,Male,0.0-10.0-2.0,Some corelation between empathetic ability and coordination skills,,arrowright,1513,empathetic,img/social/version2/p3.png,,No difficulties,152407,,12,image-keyboard-response,
325,Empathetic,True,social,,,,,Females,Male,0.0-11.0,Some corelation between empathetic ability and coordination skills,,0,4185,empathetic,"<div style=""text-align: left;padding: 0 20vw;""><p style=""font-size:20px; color:black;""> Now, you will have 30 seconds to complete as many of the 32 trials as you can.",,No difficulties,156594,,13,html-button-response,
325,Empathetic,True,social,True,,,,Females,Male,0.0-12.0-0.0,Some corelation between empathetic ability and coordination skills,,arrowleft,3056,empathetic,img/social/version2/1.png,,No difficulties,159705,,14,image-keyboard-response,
325,Empathetic,True,social,True,,,,Females,Male,0.0-12.0-0.1,Some corelation between empathetic ability and coordination skills,,arrowleft,1063,empathetic,img/social/version2/2.png,,No difficulties,160827,,15,image-keyboard-response,
325,Empathetic,True,social,True,,,,Females,Male,0.0-12.0-0.2,Some corelation between empathetic ability and coordination skills,,arrowright,1101,empathetic,img/social/version2/3.png,,No difficulties,161982,,16,image-keyboard-response,
325,Empathetic,True,social,True,,,,Females,Male,0.0-12.0-0.3,Some corelation between empathetic ability and coordination skills,,arrowright,1161,empathetic,img/social/version2/4.png,,No difficulties,163199,,17,image-keyboard-response,
325,Empathetic,True,social,True,,,,Females,Male,0.0-12.0-0.4,Some corelation between empathetic ability and coordination skills,,arrowleft,1014,empathetic,img/social/version2/5.png,,No difficulties,164268,,18,image-keyboard-response,
325,Empathetic,True,social,True,,,,Females,Male,0.0-12.0-0.5,Some corelation between empathetic ability and coordination skills,,arrowleft,1689,empathetic,img/social/version2/6.png,,No difficulties,166010,,19,image-keyboard-response,
325,Empathetic,True,social,True,,,,Females,Male,0.0-12.0-0.6,Some corelation between empathetic ability and coordination skills,,arrowright,1227,empathetic,img/social/version2/7.png,,No difficulties,167281,,20,image-keyboard-response,
325,Empathetic,True,social,True,,,,Females,Male,0.0-12.0-0.7,Some corelation between empathetic ability and coordination skills,,arrowright,1266,empathetic,img/social/version2/8.png,,No difficulties,168600,,21,image-keyboard-response,
325,Empathetic,True,social,True,,,,Females,Male,0.0-12.0-0.8,Some corelation between empathetic ability and coordination skills,,arrowright,704,empathetic,img/social/version2/9.png,,No difficulties,169360,,22,image-keyboard-response,
325,Empathetic,True,social,True,,,,Females,Male,0.0-12.0-0.9,Some corelation between empathetic ability and coordination skills,,arrowleft,453,empathetic,img/social/version2/10.png,,No difficulties,169864,,23,image-keyboard-response,
325,Empathetic,True,social,True,,,,Females,Male,0.0-12.0-0.10,Some corelation between empathetic ability and coordination skills,,arrowright,483,empathetic,img/social/version2/11.png,,No difficulties,170398,,24,image-keyboard-response,
