rt,stimulus,response,trial_type,trial_index,time_elapsed,internal_node_id,subject_id,condition,session_id,correct,status,question_order
6986,"<p style=""font-size:20px; color:black;""><p>By answering the following questions, you are participating in a study being performed by cognitive scientists in the Stanford Department of Psychology. </p><p>If you have questions about this research, please contact us at stanfordpsych251@gmail.com. </p><p>You must be at least 18 years old to participate. Your participation in this research is voluntary. You may decline to answer any or all of the following questions. You may decline further participation, at any time, without adverse consequences. </p><p>Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you.</p>",0,html-button-response,0,6988,0.0-0.0,4,social,,,,
2025,"<p style=""font-size:20px; color:black;"">Our experiment is a task that tests your perspective taking ability.</p>",0,html-button-response,1,9015,0.0-1.0,4,social,,,,
2150,"<p style=""font-size:20px; color:black;"">Perspective taking ability can be thought of as a measure of <strong>empathetic ability</strong>.</p>",0,html-button-response,2,11169,0.0-2.0,4,social,,,,
3366,"<p style=""font-size:20px; color:black;""><p>Spatial ability is a cognitive ability that is defined as understanding the relations between objects in space </p><p> and being able to mentally manipulate them and respond correctly.</p>",0,html-button-response,3,14537,0.0-3.0,4,social,,,,
2664,"<p style=""font-size:20px; color:black;"">Previous studies have shown that <strong>females often score higher on measures of empathetic ability</strong>.</p>",0,html-button-response,4,17203,0.0-4.0,4,social,,,,
6052,"<p>In this test, you will be shown a map of a city with a path drawn through it. </p>",0,html-button-response,5,23257,0.0-5.0,4,social,,,,
,"Ê Ê Ê <p>Imagine yourself taking the perspective of the person on the map. Suppose that one day, you went for walk and followed the path through the city that is shown. </p>Ê",,,,,,,,,,,
,"Ê Ê Ê <p>At each turn that the path takes,Ê",,,,,,,,,,,
,Ê Ê Ê your task is to decide whether you would turn to your right or your left as you are walking. </p>,,,,,,,,,,,
,"Ê Ê Ê <p>If it is a <strong> right turn</strong>, click on the <strong> right arrow key</strong>Ê on your keyboard,</p>",,,,,,,,,,,
,"Ê Ê Ê <p>and if it is a <strong> left turn</strong>, click on the <strong> left arrow key</strong>Ê on your keyboard.</p>",,,,,,,,,,,
,Ê Ê Ê <p>You will first see three practice trials. </p>,,,,,,,,,,,
,Ê Ê Ê <p>Please do not turn your computer screen/head.</p>,,,,,,,,,,,
1618,"<p style=""font-size:20px; color:black;"">You will first see three practice trials</p><p><p>If it is a <strong> right turn</strong>, click on the <strong> right arrow key</strong>Ê on your keyboard,</p><p>and if it is a <strong> left turn</strong>, click on the <strong> left arrow key</strong>Ê on your keyboard.</p>",0,html-button-response,6,24877,0.0-6.0,4,social,,,,
2289,img/social/version2/p1.png,arrowleft,image-keyboard-response,7,27172,0.0-7.0-0.0,4,social,,,,
1259,img/social/version2/p2.png,arrowright,image-keyboard-response,8,28434,0.0-7.0-1.0,4,social,,,,
767,img/social/version2/p3.png,arrowright,image-keyboard-response,9,29204,0.0-7.0-2.0,4,social,,,,
2182,"<p style=""font-size:20px; color:black;""> Now, you will have 30 seconds to complete as many of the 32 trials as you can.",0,html-button-response,10,31388,0.0-8.0,4,social,,,,
1630,img/social/version2/1.png,arrowleft,image-keyboard-response,11,33021,0.0-9.0-0.0,4,social,,TRUE,,
1102,img/social/version2/2.png,arrowleft,image-keyboard-response,12,34127,0.0-9.0-0.1,4,social,,TRUE,,
1181,img/social/version2/3.png,arrowright,image-keyboard-response,13,35310,0.0-9.0-0.2,4,social,,TRUE,,
1422,img/social/version2/4.png,arrowright,image-keyboard-response,14,36734,0.0-9.0-0.3,4,social,,TRUE,,
1098,img/social/version2/5.png,arrowleft,image-keyboard-response,15,37835,0.0-9.0-0.4,4,social,,TRUE,,
2074,img/social/version2/6.png,arrowleft,image-keyboard-response,16,39912,0.0-9.0-0.5,4,social,,TRUE,,
1030,img/social/version2/7.png,arrowright,image-keyboard-response,17,40944,0.0-9.0-0.6,4,social,,TRUE,,
1239,img/social/version2/8.png,arrowright,image-keyboard-response,18,42185,0.0-9.0-0.7,4,social,,TRUE,,
1117,img/social/version2/9.png,arrowright,image-keyboard-response,19,43306,0.0-9.0-0.8,4,social,,TRUE,,
1009,img/social/version2/10.png,arrowleft,image-keyboard-response,20,44318,0.0-9.0-0.9,4,social,,TRUE,,
1039,img/social/version2/11.png,arrowright,image-keyboard-response,21,45360,0.0-9.0-0.10,4,social,,TRUE,,
1106,img/social/version2/12.png,arrowleft,image-keyboard-response,22,46470,0.0-9.0-0.11,4,social,,TRUE,,
1154,img/social/version2/13.png,arrowleft,image-keyboard-response,23,47630,0.0-9.0-0.12,4,social,,TRUE,,
1197,img/social/version2/14.png,arrowright,image-keyboard-response,24,48829,0.0-9.0-0.13,4,social,,TRUE,,
1899,img/social/version2/15.png,arrowright,image-keyboard-response,25,50729,0.0-9.0-0.14,4,social,,TRUE,,
2121,img/social/version2/16.png,arrowleft,image-keyboard-response,26,52853,0.0-9.0-0.15,4,social,,TRUE,,
2055,img/social/version2/17.png,arrowleft,image-keyboard-response,27,54910,0.0-9.0-0.16,4,social,,TRUE,,
954,img/social/version2/18.png,arrowright,image-keyboard-response,28,55868,0.0-9.0-0.17,4,social,,TRUE,,
1132,img/social/version2/19.png,arrowright,image-keyboard-response,29,57003,0.0-9.0-0.18,4,social,,TRUE,,
829,img/social/version2/20.png,arrowleft,image-keyboard-response,30,57835,0.0-9.0-0.19,4,social,,TRUE,,
1598,img/social/version2/21.png,arrowleft,image-keyboard-response,31,59434,0.0-9.0-0.20,4,social,,TRUE,,
1191,img/social/version2/22.png,arrowleft,image-keyboard-response,32,60627,0.0-9.0-0.21,4,social,,FALSE,,
,,,image-keyboard-response,33,61393,0.0-9.0-0.22,4,social,,FALSE,ended early,
1906,"<p style=""font-size:20px; color:black;""><p>You have finished the task - thanks for participating! Three more questions before you go. </p>",0,html-button-response,34,63301,0.0-10.0,4,social,,,,
2328,,"{""sex"":""Female""}",survey-multi-choice,35,65633,0.0-11.0,4,social,,,,[0]
